列,类型,比较行数,最大绝对误差,文件NaN,无需反推即可验的首行,结论
return_lag1,正确规则,228,0.0,0,2006-08-31,✅ 无泄漏
return_lag2,正确规则,228,0.0,0,2006-09-30,✅ 无泄漏
return_lag3,正确规则,228,0.0,0,2006-10-31,✅ 无泄漏
momentum_3,正确规则,228,2.896988204881268e-16,0,2006-10-31,✅ 无泄漏
volatility_3,正确规则,228,2.0816681711721685e-15,0,2006-10-31,✅ 无泄漏
momentum_6,正确规则,228,4.649058915617843e-16,0,2007-01-31,✅ 无泄漏
volatility_6,正确规则,228,2.7755575615628914e-16,0,2007-01-31,✅ 无泄漏
momentum_12,正确规则,228,4.649058915617843e-16,0,2007-07-31,✅ 无泄漏
volatility_12,正确规则,228,7.216449660063518e-16,0,2007-07-31,✅ 无泄漏
ma_gap_3,正确规则,228,3.0531133177191805e-16,0,2006-09-30,✅ 无泄漏
ma_gap_6,正确规则,228,3.677613769070831e-16,0,2006-12-31,✅ 无泄漏
ma_gap_10,正确规则,228,3.122502256758253e-16,0,2007-04-30,✅ 无泄漏
term_spread_lag1,正确规则,228,0.0,0,2006-08-31,✅ 无泄漏
unemployment_lag2,正确规则,227,0.0,1,2006-09-30,✅ 无泄漏
inflation_yoy_lag2,正确规则,227,0.0,1,2006-09-30,✅ 无泄漏
momentum_12 不滞后 P_t/P_{t−12}−1（泄漏：用了当月价）,反例（故意做错）,228,0.2544627389985725,0,,抓到 ✔
return_lag1 不滞后（泄漏：= 当月收益）,反例（故意做错）,228,0.2529288370515096,0,,抓到 ✔
volatility_12 居中窗口 center=True（泄漏路径②）,反例（故意做错）,223,0.17358359606509854,0,,抓到 ✔
unemployment_lag2 只滞后 1 个月（泄漏：参考月≠发布日）,反例（故意做错）,226,10.4,1,,抓到 ✔
term_spread_lag1 不滞后（泄漏：用了当月利差）,反例（故意做错）,228,0.9702122608574228,0,,抓到 ✔
volatility_12 用总体标准差 ddof=0（口径错）,反例（故意做错）,228,0.013312708732686362,0,,抓到 ✔
momentum_12 用 ∏(1+r)−1 收益连乘（口径错：r 是对数收益）,反例（故意做错）,228,0.04088857780080907,0,,抓到 ✔
momentum_12 用 exp(Σr)−1 对数收益累加（等价写法）,等价构造,228,1.5543122344752192e-15,0,,✅ 与价格法相同
